latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.619923,100.340874,330.04,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.94,2.67,D,0
16.681683,100.52301,339.77,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.41,2.94,D,0
16.688932,100.262054,331.93,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.74,2.84,D,0
16.677635,100.189384,339.61,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.04,3.86,D,0
16.602293,99.643623,336.47,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,298.02,1.21,D,0
16.596632,99.564171,335.79,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,298.75,3.02,D,0
16.712252,100.28051,334.61,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.64,1.91,D,0
16.733395,100.329063,340.97,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.59,3.6,D,0
16.678242,99.907906,332.43,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.48,2.2,D,0
16.706505,99.989174,329.79,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.61,2.08,D,0
16.651321,99.61953,329.7,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,297.39,1.76,D,0
16.787888,100.401024,332.92,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.67,1.68,D,0
16.746454,99.959908,334.31,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.13,2.43,D,0
16.775459,99.970078,331.13,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,301.52,1.28,D,0
17.214769,102.837402,333.42,0.41,0.37,2021-12-01,0630,N,VIIRS,n,1,299.16,5.56,D,0
16.694202,99.25338,329.42,0.41,0.37,2021-12-01,0630,N,VIIRS,n,1,297.35,3.49,D,0
16.871956,100.286865,330.74,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.49,1.88,D,0
17.339571,103.432854,337.15,0.43,0.38,2021-12-01,0630,N,VIIRS,n,1,298.01,3.17,D,0
17.431782,103.657936,339.5,0.44,0.38,2021-12-01,0630,N,VIIRS,n,1,296.31,4.14,D,0
16.675682,98.617447,340.06,0.43,0.38,2021-12-01,0630,N,VIIRS,n,1,295.38,6.83,D,0
16.947826,100.292831,340.65,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.52,5.93,D,0
17.129253,101.397461,326.26,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,295.91,1.55,D,0
16.993172,100.240067,333.56,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.12,1.06,D,0
16.994238,100.224983,337.59,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.82,3.74,D,0
17.010731,100.177498,333.9,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,297.83,4.02,D,0
17.026392,100.23452,336.86,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.36,3.25,D,0
17.399916,102.574463,341.01,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,300.38,5.58,D,0
17.010548,99.956566,332.42,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.72,1.54,D,0
17.060217,100.254944,337.53,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,303.04,5.39,D,0
17.059656,100.251312,335.06,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,303.74,3.45,D,0
17.037216,100.045547,333.94,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.54,2.17,D,0
17.04298,99.973312,330.71,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.57,1.33,D,0
17.047812,99.938683,329.72,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.04,1.82,D,0
17.050573,99.934456,331.14,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.41,3.42,D,0
17.097897,100.084053,336.19,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.04,2.52,D,0
17.110289,100.141785,336.21,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,304.16,4.56,D,0
