OBJECTID,FID_output_XYTableToPoint,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,id,easting,northing,zone_number,zone_letter,Date,Date_Ordinal,Cluster,FID_อุทยานแห่งชาติแม่ปิง_Merge,AREA,PERIMETER,PROV_CODE,PROV_NAM_T,PROV_NAM_E,REGION,DNPO_CODE,DNPO_TH,LOCATION,TYPT,FR_ID,FR_NAME,PROVINCE,SOURCE,TYPE,F_CODE,KM2,RAI,fullname
1065,1416,17.51031,98.81827,340.89,0.52,0.67,2023-03-04,552,1,VIIRS,n,2.0NRT,296.15,7,D,1416,480709.1584,1936018.704,47,Q,2023-03-04,738583,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1066,900,17.51034,98.85187,344.8,0.42,0.38,2023-03-02,629,1,VIIRS,n,2.0NRT,310.5,7.35,D,900,484275.8456,1936018.933,47,Q,2023-03-02,738581,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1067,871,17.51031,98.74274,330.08,0.42,0.38,2023-03-02,629,1,VIIRS,n,2.0NRT,304.43,2.27,D,871,472691.527,1936027.945,47,Q,2023-03-02,738581,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1068,563,17.51054,98.86507,353.66,0.43,0.38,2023-03-01,648,1,VIIRS,n,2.0NRT,311.66,7.72,D,563,485677.0573,1936040.018,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1069,1755,17.51057,98.88132,303.43,0.55,0.43,2023-02-23,1845,N,VIIRS,n,2.0NRT,290.9,1.7,N,1755,487402.0139,1936042.189,47,Q,2023-02-23,738574,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1070,573,17.51052,98.73782,351.57,0.43,0.38,2023-03-01,648,1,VIIRS,n,2.0NRT,306.57,8.02,D,573,472169.2918,1936051.89,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1071,2666,17.51068,98.88045,331.46,0.42,0.61,2023-03-02,722,N,VIIRS,n,2.0NRT,302.6,1.84,D,2666,487309.6702,1936054.416,47,Q,2023-03-02,738581,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1072,1096,17.51066,98.84399,330.3,0.38,0.36,2023-03-02,1902,1,VIIRS,n,2.0NRT,295.39,3.33,N,1096,483439.4027,1936055.003,47,Q,2023-03-02,738581,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1073,403,17.51056,98.72285,330.58,0.52,0.5,2023-02-28,707,1,VIIRS,n,2.0NRT,300.45,2.69,D,403,470580.2056,1936058.566,47,Q,2023-02-28,738579,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1074,479,17.5106,98.71976,303.82,0.37,0.58,2023-02-28,1938,1,VIIRS,n,2.0NRT,290.55,1.01,N,479,470252.2029,1936063.471,47,Q,2023-02-28,738579,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1075,3078,17.51077,98.82384,304.89,0.45,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,291.16,0.77,N,3078,481300.4687,1936069.038,47,Q,2023-03-04,738583,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1076,468,17.51077,98.7984,307.95,0.37,0.58,2023-02-28,1938,1,VIIRS,n,2.0NRT,288.14,1.87,N,468,478599.9828,1936071.717,47,Q,2023-02-28,738579,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1077,2911,17.51077,98.70355,303.26,0.56,0.51,2023-03-03,1934,N,VIIRS,n,2.0NRT,292.63,2.09,N,2911,468531.5097,1936084.884,47,Q,2023-03-03,738582,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1078,2407,17.51081,98.71985,307.18,0.46,0.39,2023-02-28,1849,N,VIIRS,n,2.0NRT,291.29,1.28,N,2407,470261.7907,1936086.69,47,Q,2023-02-28,738579,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1079,744,17.51093,98.73981,309.7,0.55,0.43,2023-03-01,1919,1,VIIRS,n,2.0NRT,291.12,1.77,N,744,472380.5957,1936096.959,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1080,562,17.51112,98.86923,345.15,0.43,0.38,2023-03-01,648,1,VIIRS,n,2.0NRT,310.06,7.72,D,562,486118.6898,1936103.876,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
