latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15.29127,105.4909,338.86,0.39,0.36,2023-02-23,0612,N,VIIRS,n,2.0NRT,306.25,5.62,D
15.2907,105.48729,346.17,0.39,0.36,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.28,5.62,D
15.2946,105.49034,340.14,0.39,0.36,2023-02-23,0612,N,VIIRS,n,2.0NRT,306.46,3.25,D
15.29404,105.48673,342.84,0.39,0.36,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.78,3.25,D
14.25264,99.39576,331.41,0.53,0.5,2023-02-23,0612,N,VIIRS,l,2.0NRT,304.69,2.57,D
15.3019,105.51514,332.46,0.39,0.36,2023-02-23,0612,N,VIIRS,l,2.0NRT,305.11,1.45,D
14.98436,98.83375,331.66,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,297.32,5.04,D
15.03071,103.82253,335.88,0.44,0.38,2023-02-23,0612,N,VIIRS,l,2.0NRT,309.65,1.6,D
14.31988,99.65831,336.63,0.51,0.49,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.83,4.01,D
14.24694,99.18289,339.01,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,298.76,2.94,D
14.19765,98.86244,331.2,0.58,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.92,3.2,D
14.61977,101.1656,356.58,0.4,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,308.67,12.45,D
14.2944,99.33713,332.34,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.54,3.93,D
14.62384,101.16477,353.31,0.4,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,309.91,14.86,D
14.62249,101.16463,346.45,0.4,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,308.97,8.17,D
14.62656,101.16384,344.34,0.4,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.61,8.17,D
14.191,98.83285,330.09,0.58,0.52,2023-02-23,0612,N,VIIRS,l,2.0NRT,301.24,2.98,D
14.2919,99.33475,331.34,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.36,1.82,D
14.31581,99.38535,335.14,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.09,3.25,D
14.24424,98.982,342.55,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.03,9.36,D
14.24885,98.98047,341.54,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,298,9.36,D
14.2274,98.81556,342.25,0.58,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.65,11.57,D
14.2265,98.81086,349.55,0.58,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.76,11.57,D
14.23132,98.81009,340.77,0.58,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.25,7.81,D
14.63599,100.98076,336.14,0.41,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.91,4.12,D
14.26143,98.9431,339.95,0.57,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.84,9.51,D
14.23606,98.80888,344.44,0.58,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,298.72,7.81,D
14.24858,98.82266,340.69,0.58,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,298.15,8.84,D
14.81953,101.95258,338.79,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.74,6.25,D
14.82253,101.94688,335.86,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.84,6.25,D
14.36782,99.33147,338.62,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.99,8.38,D
14.37162,99.32617,339.7,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.98,8.38,D
14.38468,99.37119,332.99,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.4,6.58,D
14.38388,99.36685,336.25,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.07,4.68,D
14.37633,99.3258,345.37,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.01,14.87,D
15.29319,104.62257,331.49,0.41,0.37,2023-02-23,0612,N,VIIRS,l,2.0NRT,306.1,2.52,D
14.85607,101.95612,335.08,0.54,0.42,2023-02-23,0612,N,VIIRS,l,2.0NRT,307.57,2.29,D
14.60723,100.52802,343.52,0.44,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,309.56,12.43,D
14.6065,100.52393,335.51,0.44,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.1,3.75,D
14.40232,99.36346,336.55,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.2,5.57,D
14.85484,101.87865,338.83,0.55,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,306.83,5.52,D
14.68788,100.91216,333.29,0.42,0.45,2023-02-23,0612,N,VIIRS,l,2.0NRT,303.54,3.91,D
14.6872,100.90829,335.81,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.28,3.91,D
14.67285,100.80172,335.12,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,308.12,2.88,D
14.85565,101.88107,336.64,0.54,0.42,2023-02-23,0612,N,VIIRS,l,2.0NRT,307.57,3.54,D
14.68958,100.9119,330.66,0.42,0.45,2023-02-23,0612,N,VIIRS,l,2.0NRT,303.39,2.44,D
14.68887,100.90803,339.89,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.89,2.44,D
14.67384,100.80204,334.08,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,308.26,3.38,D
14.37164,99.18275,334.41,0.54,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.59,8.35,D
14.96107,102.30149,344.3,0.51,0.41,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.51,4.56,D
14.96024,102.29671,336.34,0.52,0.41,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.99,4.56,D
14.40447,99.22874,331.06,0.54,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.1,6.07,D
14.96485,102.30077,332.83,0.51,0.41,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.34,4.82,D
15.08997,102.92045,336.57,0.48,0.4,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.76,2.33,D
14.44546,99.2938,330.02,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.53,8.53,D
14.44461,99.28922,356.04,0.53,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,297.69,15.87,D
14.54828,99.82413,338.28,0.49,0.49,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.56,12.11,D
