latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.011565,99.846588,333.78,0.48,0.48,2021-02-01,0606,N,VIIRS,n,1,302.3,2.76,D,0
15.015194,99.846733,344.39,0.48,0.48,2021-02-01,0606,N,VIIRS,n,1,303.91,7.28,D,0
15.285872,101.310539,341.76,0.57,0.43,2021-02-01,0606,N,VIIRS,n,1,303.72,4.26,D,0
15.272758,101.073799,347.54,0.4,0.44,2021-02-01,0606,N,VIIRS,n,1,304.44,10.15,D,0
15.954359,105.04789,335.52,0.39,0.36,2021-02-01,0606,N,VIIRS,n,1,305.98,2.11,D,0
15.589494,102.797173,333.39,0.47,0.4,2021-02-01,0606,N,VIIRS,l,1,304.81,2.81,D,0
15.246075,100.80471,348.85,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,304.55,5.04,D,0
14.961204,99.230614,338.4,0.52,0.5,2021-02-01,0606,N,VIIRS,n,1,297.34,5.44,D,0
15.284574,100.903351,340.78,0.4,0.45,2021-02-01,0606,N,VIIRS,n,1,306.11,4.93,D,0
15.250511,100.685287,346.42,0.42,0.45,2021-02-01,0606,N,VIIRS,n,1,303.79,5.04,D,0
15.037399,99.493156,330.51,0.5,0.49,2021-02-01,0606,N,VIIRS,l,1,301.81,1.79,D,0
15.812708,103.980614,342.89,0.42,0.38,2021-02-01,0606,N,VIIRS,n,1,301.12,6.39,D,0
15.307381,100.848083,337.53,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,305.29,3.81,D,0
15.427434,101.381187,331.79,0.57,0.43,2021-02-01,0606,N,VIIRS,n,1,299.79,3.17,D,0
15.518105,101.876694,331.76,0.53,0.42,2021-02-01,0606,N,VIIRS,l,1,303.51,2.53,D,0
15.6138,101.759628,330.92,0.53,0.42,2021-02-01,0606,N,VIIRS,l,1,303.22,3.1,D,0
15.536284,101.199318,336.27,0.38,0.44,2021-02-01,0606,N,VIIRS,n,1,304.26,3.64,D,0
15.547152,101.237961,343.68,0.38,0.43,2021-02-01,0606,N,VIIRS,n,1,305.23,4.17,D,0
15.54027,101.198578,342.55,0.38,0.44,2021-02-01,0606,N,VIIRS,n,1,305.02,3.64,D,0
15.539641,101.194992,335.12,0.39,0.44,2021-02-01,0606,N,VIIRS,n,1,303.54,3.64,D,0
15.551125,101.237228,340.43,0.38,0.43,2021-02-01,0606,N,VIIRS,n,1,304.26,3.38,D,0
15.543,101.190659,336.86,0.39,0.44,2021-02-01,0606,N,VIIRS,n,1,303.45,2.88,D,0
15.563046,101.235001,355.39,0.38,0.43,2021-02-01,0606,N,VIIRS,n,1,307.6,15.95,D,0
15.562424,101.23143,330.95,0.38,0.43,2021-02-01,0606,N,VIIRS,l,1,303.38,3.83,D,0
15.47632,100.666153,338.3,0.42,0.45,2021-02-01,0606,N,VIIRS,n,1,302.42,1.42,D,0
15.644212,101.58886,331.79,0.55,0.42,2021-02-01,0606,N,VIIRS,n,1,301.39,1.88,D,0
15.474453,100.667595,334.13,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,302.56,1.75,D,0
15.743904,102.108315,348.24,0.51,0.41,2021-02-01,0606,N,VIIRS,n,1,304.54,6.3,D,0
15.404855,100.194275,338.7,0.44,0.46,2021-02-01,0606,N,VIIRS,n,1,302.99,1.65,D,0
15.649413,101.50219,330.14,0.55,0.43,2021-02-01,0606,N,VIIRS,l,1,302.93,3.82,D,0
15.648566,101.497406,332.43,0.55,0.43,2021-02-01,0606,N,VIIRS,n,1,300.25,1.98,D,0
