OID_,FID_SUOMI_XYTableToPoint,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,FID_อุทยานแห่งชาติแม่ปิง_Merge,AREA,PERIMETER,PROV_CODE,PROV_NAM_T,PROV_NAM_E,REGION,DNPO_CODE,DNPO_TH,LOCATION,TYPT,FR_ID,FR_NAME,PROVINCE,SOURCE,TYPE,F_CODE,KM2,RAI,fullname
878,19180,17.610250000000001,98.838290000000001,335.060000000000002,0.420000000000000,0.610000000000000,3/2/2023 0:00:00,722,N,VIIRS,n,2.0NRT,299.899999999999977,4.500000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
879,19183,17.612220000000001,98.836399999999998,346.540000000000020,0.420000000000000,0.610000000000000,3/2/2023 0:00:00,722,N,VIIRS,n,2.0NRT,300.610000000000014,3.610000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
880,24491,17.612269999999999,98.863849999999999,301.680000000000007,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,290.009999999999991,0.510000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
881,53,17.613260000000000,98.741550000000004,342.889999999999986,0.510000000000000,0.490000000000000,2/23/2023 0:00:00,612,N,VIIRS,n,2.0NRT,297.170000000000016,6.130000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
882,19830,17.620519999999999,98.837879999999998,299.970000000000027,0.600000000000000,0.710000000000000,3/2/2023 0:00:00,1810,N,VIIRS,n,2.0NRT,289.779999999999973,0.650000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
883,2629,17.620970000000000,98.874070000000003,332.839999999999975,0.680000000000000,0.740000000000000,2/24/2023 0:00:00,735,N,VIIRS,n,2.0NRT,295.470000000000027,6.010000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
884,2628,17.621369999999999,98.875680000000003,332.720000000000027,0.680000000000000,0.740000000000000,2/24/2023 0:00:00,735,N,VIIRS,n,2.0NRT,295.759999999999991,5.650000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
885,19837,17.621890000000000,98.837289999999996,302.100000000000023,0.600000000000000,0.710000000000000,3/2/2023 0:00:00,1810,N,VIIRS,n,2.0NRT,290.569999999999993,0.850000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
886,17335,17.627189999999999,98.838200000000001,305.990000000000009,0.590000000000000,0.530000000000000,3/1/2023 0:00:00,1832,N,VIIRS,n,2.0NRT,289.920000000000016,0.930000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
887,19186,17.627479999999998,98.816149999999993,343.569999999999993,0.420000000000000,0.610000000000000,3/2/2023 0:00:00,722,N,VIIRS,n,2.0NRT,301.350000000000023,4.350000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
